<DATE>	<CLOSE>	<VOL>
20160712	1938,36	33035090032
20160713	1935,88	38363975761
20160714	1942,46	33861336650
20160715	1940,85	36466881812
20160718	1936,07	30425666764
20160719	1915,89	32775563013
20160720	1915,09	27902451635
20160721	1927,7	20274446289
20160722	1926,9	17663520714
20160725	1931,78	27254066779
20160726	1938,52	30456088568
20160727	1938,65	27938465894
20160728	1954,45	26728191998
20160729	1944,62	30860260699
20160801	1947,36	24577652412
20160802	1912,69	28399165388
20160803	1919,15	23233306954
20160804	1944,94	24129989572
20160805	1944,31	21406486898
20160808	1956,99	20113294541
20160809	1956,42	22801536967
20160810	1942,67	21488774846
20160811	1952,18	21909224810
20160812	1967,18	23361605096
20160815	1977,28	24312001591
20160816	1975,8	28709861841
20160817	1969,19	25229268898
20160818	1970,07	25565625859
20160819	1959,72	19768199622
20160822	1979,09	20450956430
20160823	1989,51	23113177117
20160824	1983,59	20927683750
20160825	1985,56	30205974337
20160826	1993,35	30444029753
20160829	1986,72	19262464914
20160830	1985,69	22499082585
20160831	1971,59	29285971066
20160901	1976,91	22144993785
20160902	2003,77	27771307189
20160905	2017,38	26492309941
20160906	2039,53	33024111366
20160907	2053,75	39263204255
20160908	2050,77	30940002754
20160909	2028,25	22587475419
20160912	2019,9	30435978233
20160913	2004,5	21810151968
20160914	2004,48	23750715488
20160915	1996,58	28369697323
20160916	1981,96	36183837796
20160919	1986,97	23509153108
20160920	1991,78	22024871194
20160921	1997,67	23034912380
20160922	2025,3	31315037464
20160923	2011,83	26324790043
20160926	1997,94	23793104426
20160927	1975,52	24694472846
20160928	1980,68	22889123570
20160929	1996,12	24935420420
20160930	1978	29629400154
20161003	1986,8	24659115357
20161004	1985,02	22939397746
20161005	1975,85	25902947212
20161006	1983,88	21211360146
20161007	1980,02	26582545057
20161010	2001,1	26690325827
20161011	2001,42	26822042306
20161012	1993,35	25187554322
20161013	1976,37	25155937370
20161014	1966,39	19808342681
20161017	1956,95	22692697600
20161018	1969,11	20980144729
20161019	1967,5	18092691005
20161020	1957,09	19181565453
20161021	1957,7	17455056869
20161024	1962,79	21496951683
20161025	1977,19	25551133600
20161026	1974,81	20519141060
20161027	1979,8	22362176705
20161028	1981,76	17498687429
20161031	1989,64	27818775360
20161101	1996,87	33035003519
20161102	1968,77	37096313710
20161103	1962,71	25324583479
20161107	1952,69	28632761269
20161108	1967,93	24479277446
20161109	2011,58	52718306058
20161110	2044,03	69552539113
20161111	2031,92	45814008381
20161114	2021,99	33026751983
20161115	2017,06	31823349530
20161116	2028,92	31623752273
20161117	2042,76	29562618941
20161118	2038,29	21163067302
20161121	2058,77	24992942683
20161122	2066,18	33323943261
20161123	2085,75	25786548554
20161124	2102,97	31605231600
20161125	2098,15	30965318360
20161128	2094,65	27396639204
20161129	2086,84	2,70034E+12
20161130	2104,91	58334436769
20161201	2121,87	40906963718
20161202	2128,99	33619258981
20161205	2158,33	36015612471
20161206	2152,35	38483809392
20161207	2160,51	28719314262
20161208	2207,02	56852647164
20161209	2208,53	45334270803
20161212	2226,89	69318246274
20161213	2247,02	49010822627
20161214	2229,05	43639101604
20161215	2237,23	61391210785
20161216	2231,41	46994667402
20161219	2215,69	26493505565
